Country Name;Region;World Rank;Region Rank;2021 Score;Property Rights;Judical Effectiveness;Government Integrity;Tax Burden;Gov't Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom ;Financial Freedom
Libya;Middle East and North Africa;;;;16,5;19,7;21,0;;0;19,9;38,4;55,3;69,7;;5;
Liechtenstein;Europe;;;;;;;;;;;;;;85;80
Lithuania;Europe;15;8;76,9;78,9;68,7;74,5;84,6;66,8;97,2;73,1;74,4;80,1;84,0;70;70
Luxembourg;Europe;18;11;76,0;85,7;77,6;92,5;63,4;46,2;99,0;66,1;45,9;76,5;84,0;95;80
North Macedonia;Europe;46;27;68,6;62,6;40,4;41,9;94,9;71,0;87,8;77,8;65,2;78,7;77,4;65;60
Madagascar;Sub-Saharan Africa;112;17;57,7;33,7;25,7;20,2;90,6;93,4;92,9;46,5;44,7;73,7;65,4;55;50
Malawi;Sub-Saharan Africa;145;33;53,0;46,1;42,1;26,8;79,0;72,3;25,4;42,1;63,6;70,5;68,2;50;50
Malaysia;Asia-Pacific;22;5;74,4;85,1;70,5;53,2;83,8;84,3;79,4;86,7;73,9;83,6;82,4;60;50
Maldives;Asia-Pacific;136;31;55,2;44,1;28,2;39,5;96,5;67,0;35,9;77,9;71,2;77,5;59,8;35;30
Mali;Sub-Saharan Africa;133;26;55,6;34,5;21,2;23,6;69,0;85,3;81,3;46,5;53,5;83,7;64,0;65;40
Malta;Europe;36;21;70,2;68,2;57,3;55,0;68,6;60,9;96,3;67,6;61,8;77,1;84,0;85;60
Mauritania;Sub-Saharan Africa;128;23;56,1;26,0;23,9;21,0;74,3;88,4;93,3;59,1;52,8;80,0;63,8;50;40
Mauritius;Sub-Saharan Africa;13;1;77,0;78,4;73,6;55,0;91,6;78,0;73,5;83,7;74,6;77,4;88,0;80;70
Mexico;Americas;65;11;65,5;53,4;35,9;39,8;76,1;79,8;88,7;65,6;58,2;72,1;81,6;75;60
Micronesia;Asia-Pacific;160;36;50,4;16,5;23,3;25,0;88,2;0,0;99,3;56,2;74,4;82,1;74,8;35;30
Moldova;Europe;85;41;62,5;60,6;29,9;38,7;94,0;71,0;96,5;66,2;39,2;71,5;76,8;55;50
Mongolia;Asia-Pacific;86;14;62,4;48,1;25,9;37,4;89,9;71,5;91,3;61,9;74,4;73,4;74,6;50;50
Montenegro;Europe;80;39;63,4;57,8;56,2;51,0;83,6;35,3;37,2;73,5;78,0;83,4;79,4;75;50
Morocco;Middle East and North Africa;81;9;63,3;67,5;51,2;39,9;68,3;73,0;68,5;72,3;33,2;80,3;70,6;65;70
Mozambique;Sub-Saharan Africa;153;36;51,6;29,5;26,9;23,8;74,8;71,4;62,3;55,2;42,0;77,1;70,8;35;50
Namibia;Sub-Saharan Africa;83;6;62,6;57,1;63,6;47,4;67,5;57,4;53,7;65,6;85,2;77,2;71,2;65;40
Nepal;Asia-Pacific;157;35;50,7;38,1;34,1;33,8;83,2;73,2;61,8;61,5;53,6;71,6;57,6;10;30
Netherlands;Europe;16;9;76,8;88,9;72,8;90,6;51,7;47,7;95,3;80,5;60,1;80,4;84,0;90;80
New Zealand;Asia-Pacific;2;2;83,9;91,3;80,5;95,3;70,6;58,1;98,2;89,9;86,3;86,9;90,2;80;80
Nicaragua;Americas;125;23;56,3;27,8;19,0;24,8;77,1;77,5;91,8;53,1;55,0;70,7;68,4;60;50
Niger;Sub-Saharan Africa;117;19;57,3;38,8;45,7;31,8;77,1;87,1;76,2;52,5;47,4;75,3;61,0;55;40
Nigeria;Sub-Saharan Africa;105;13;58,7;36,8;38,7;23,5;84,9;95,3;59,9;60,0;84,4;68,0;68,4;45;40
Norway;Europe;28;15;73,4;82,4;86,3;95,8;57,1;25,3;96,6;85,5;57,8;75,4;84,0;75;60
Oman;Middle East and North Africa;71;7;64,6;68,7;66,3;66,0;97,7;39,2;12,2;79,2;61,0;85,8;73,6;65;60
Pakistan;Asia-Pacific;152;34;51,7;44,9;40,7;31,2;73,8;86,0;7,4;60,5;41,2;69,7;64,6;60;40
Panama;Americas;62;10;66,2;54,5;28,1;39,4;85,2;85,2;82,8;72,9;43,7;80,5;77,2;75;70
Papua New Guinea;Asia-Pacific;103;19;58,9;46,1;50,8;32,7;71,5;88,0;82,0;57,4;70,2;72,1;80,4;25;30
Paraguay;Americas;84;16;62,6;41,6;26,0;32,2;96,2;86,7;91,6;59,6;31,8;73,8;76,4;75;60
Peru;Americas;50;7;67,7;53,3;28,2;36,3;79,4;86,4;91,5;66,2;63,2;86,1;86,4;75;60
Philippines;Asia-Pacific;73;12;64,1;57,0;34,5;40,6;76,8;87,4;94,3;58,2;57,7;68,7;74,2;60;60
Poland;Europe;41;25;69,7;63,3;48,9;65,0;73,9;48,1;94,6;61,6;66,1;80,8;84,0;80;70
Portugal;Europe;52;29;67,5;74,1;68,5;68,2;60,0;42,4;78,2;75,9;44,1;85,0;84,0;70;60
Qatar;Middle East and North Africa;31;3;72,0;68,3;58,0;54,0;97,9;69,2;94,5;74,0;65,9;80,7;81,4;60;60
Romania;Europe;43;26;69,5;68,8;63,1;54,6;94,3;69,2;78,9;59,7;63,6;77,7;84,0;70;50
Russia;Europe;92;42;61,5;54,4;42,4;41,7;93,0;66,1;99,6;84,1;55,4;67,3;74,0;30;30
Rwanda;Sub-Saharan Africa;47;2;68,3;68,7;75,2;59,1;79,5;78,5;78,0;62,3;77,4;80,2;61,2;60;40
Saint Lucia;Americas;53;8;67,5;61,5;66,3;44,6;76,9;83,2;86,2;75,7;66,5;83,5;60,6;65;40
Saint Vincent and the Grenadines;Americas;59;9;66,3;48,1;66,3;48,7;74,9;71,6;87,6;74,2;74,0;82,6;57,8;70;40
Samoa;Asia-Pacific;89;16;61,9;48,5;28,2;32,7;78,9;71,1;95,2;75,5;80,8;80,0;66,4;55;30
São Tomé and Príncipe;Sub-Saharan Africa;129;24;55,9;36,8;23,3;39,5;88,4;79,7;74,6;62,8;43,2;67,0;65,2;60;30
Saudi Arabia;Middle East and North Africa;63;5;66,0;68,7;76,7;53,2;99,1;62,9;31,0;83,5;63,3;82,3;75,8;45;50
Senegal;Sub-Saharan Africa;111;16;58,0;50,3;37,8;43,6;72,4;84,2;72,2;53,5;36,6;79,0;66,4;60;40
Serbia;Europe;54;30;67,2;57,9;50,6;45,0;92,5;49,6;94,6;71,0;67,3;81,1;77,2;70;50
Seychelles;Sub-Saharan Africa;60;4;66,3;65,3;51,6;64,4;76,9;60,9;93,2;67,5;71,3;80,3;79,0;55;30
Sierra Leone;Sub-Saharan Africa;150;34;51,7;42,3;45,7;30,5;86,7;85,9;39,7;49,6;30,1;65,1;64,6;60;20
Singapore;Asia-Pacific;1;1;89,7;97,5;90,8;93,2;90,5;94,1;80,0;93,8;91,5;85,4;95,0;85;80
Slovakia;Europe;61;33;66,3;71,5;44,4;48,8;78,4;47,0;93,4;55,6;52,2;74,8;84,0;75;70
Slovenia;Europe;48;28;68,3;77,3;56,3;68,2;58,2;42,5;91,1;78,8;61,5;81,9;84,0;70;50
Solomon Islands;Asia-Pacific;122;27;56,5;46,1;55,9;35,2;66,3;55,3;92,2;58,9;73,8;80,6;68,6;15;30
Somalia;Sub-Saharan Africa;;;;27,8;23,3;11,5;;;;31,2;;;;;
South Africa;Sub-Saharan Africa;99;9;59,7;59,6;57,1;50,6;63,9;65,9;53,4;61,5;59,4;76,8;72,6;45;50
Spain;Europe;39;24;69,9;76,4;65,4;70,3;61,7;48,1;69,8;66,3;57,9;83,5;84,0;85;70
Sri Lanka;Asia-Pacific;131;28;55,7;45,4;46,8;39,5;85,0;88,4;30,1;75,2;59,1;71,6;47,0;40;40
Sudan;Sub-Saharan Africa;175;47;39,1;32,6;19,7;20,2;84,9;91,9;0,0;50,8;60,4;39,2;45,0;5;20
Suriname;Americas;169;29;46,4;45,5;15,4;38,5;70,0;68,2;7,8;45,8;61,9;73,7;60,2;40;30
Sweden;Europe;21;12;74,7;86,6;79,1;92,5;43,6;29,5;97,6;83,2;53,9;81,5;84,0;85;80
Switzerland;Europe;4;1;81,9;85,4;82,2;87,9;70,4;67,6;96,9;73,6;72,5;85,4;86,0;85;90
Syria;Middle East and North Africa;;;;42,5;19,7;25,9;;;;49,7;57,8;60,6;47,0;0;
Taiwan ;Asia-Pacific;6;4;78,6;87,3;72,9;74,5;79,2;91,0;93,7;93,4;60,4;84,3;86,0;60;60
Tajikistan;Asia-Pacific;134;29;55,2;41,6;48,8;35,2;91,9;68,6;75,1;62,3;46,2;68,5;69,6;25;30
Tanzania;Sub-Saharan Africa;93;8;61,3;41,3;40,2;34,5;80,7;91,8;90,8;45,7;67,7;72,9;64,4;55;50
Thailand;Asia-Pacific;42;9;69,7;60,0;48,1;45,1;81,5;86,0;96,4;85,3;64,3;74,4;80,0;55;60
Timor-Leste;Asia-Pacific;170;38;44,7;37,2;15,1;37,4;91,7;0,0;20,0;62,2;53,4;79,7;75,0;45;20
Togo;Sub-Saharan Africa;113;18;57,5;44,5;28,2;32,2;68,0;84,8;89,9;60,6;47,1;79,7;65,4;60;30
Tonga;Asia-Pacific;115;23;57,5;48,1;23,3;44,6;84,8;53,7;95,4;70,0;69,9;66,4;73,4;40;20
Trinidad and Tobago;Americas;102;20;59,0;52,4;46,9;36,4;79,5;70,9;15,8;66,5;76,8;83,4;68,8;60;50
Tunisia;Middle East and North Africa;119;10;56,6;53,9;41,9;42,0;71,7;71,1;53,0;80,7;49,7;73,6;66,8;45;30
Turkey;Europe;76;37;64,0;61,5;58,6;45,4;73,2;64,5;75,8;68,5;48,8;65,4;76,0;70;60
Turkmenistan;Asia-Pacific;167;37;47,4;27,7;20,0;22,0;92,6;93,2;96,3;30,0;20,0;72,8;74,2;10;10
Uganda;Sub-Saharan Africa;106;14;58,6;44,8;36,5;25,0;73,2;91,6;63,2;44,9;83,2;78,9;67,4;55;40
Ukraine;Europe;127;45;56,2;48,5;41,1;37,9;88,7;48,2;87,7;63,5;48,7;65,8;79,2;35;30
United Arab Emirates;Middle East and North Africa;14;1;76,9;80,8;81,1;66,0;100,0;73,0;98,5;80,0;81,6;80,6;81,4;40;60
United Kingdom;Europe;7;3;78,4;87,6;76,7;86,5;64,9;54,8;77,3;94,4;73,2;81,0;84,0;80;80
United States;Americas;20;3;74,8;79,7;72,4;76,8;76,0;62,2;34,9;82,5;87,1;81,1;80,4;85;80
Uruguay;Americas;44;4;69,3;68,1;66,8;75,7;72,6;66,9;80,5;72,3;70,5;72,5;70,8;85;30
Uzbekistan;Asia-Pacific;108;21;58,3;57,8;50,8;30,5;92,4;79,9;98,3;73,5;61,2;60,3;55,4;20;20
Vanuatu;Asia-Pacific;97;18;60,5;53,3;34,1;39,5;96,8;61,7;94,9;49,4;54,5;75,5;61,6;65;40
Venezuela;Americas;177;32;24,7;7,5;15,4;15,1;71,1;61,5;0,0;33,4;27,5;0,0;54,8;0;10
Vietnam;Asia-Pacific;90;17;61,7;51,3;35,9;38,0;80,3;86,0;82,8;65,2;62,6;69,0;79,0;40;50
Yemen;Middle East and North Africa;;;;16,5;19,7;17,0;;95,6;48,9;46,1;57,7;54,6;67,4;;
Zambia;Sub-Saharan Africa;159;39;50,4;37,2;26,2;30,5;71,1;78,5;5,3;66,1;45,6;71,2;68,2;55;50
Zimbabwe;Sub-Saharan Africa;174;46;39,5;32,6;32,0;21,3;63,4;89,4;58,8;41,5;44,1;0,0;56,0;25;10
